"SOC Code","Occupation Title","AIOE","Macro-Category","Broad_Category"
"11-1011","Chief Executives","1.334","Management","Business & Legal"
"11-1021","General and Operations Managers","0.575","Management","Business & Legal"
"11-2011","Advertising and Promotions Managers","1.294","Management","Business & Legal"
"11-2021","Marketing Managers","1.315","Management","Business & Legal"
"11-2022","Sales Managers","1.266","Management","Business & Legal"
"11-2031","Public Relations Managers","1.294","Management","Business & Legal"
"11-3011","Administrative Services Managers","0.74","Management","Business & Legal"
"11-3021","Computer and Information Systems Managers","1.06","Management","Business & Legal"
"11-3031","Financial Managers","1.446","Management","Business & Legal"
"11-3051","Industrial Production Managers","0.509","Management","Business & Legal"
"11-3061","Purchasing Managers","1.423","Management","Business & Legal"
"11-3071","Transportation, Storage, and Distribution Managers","0.891","Management","Business & Legal"
"11-3111","Compensation and Benefits Managers","1.298","Management","Business & Legal"
"11-3121","Human Resources Managers","1.32","Management","Business & Legal"
"11-3131","Training and Development Managers","1.284","Management","Business & Legal"
"11-9013","Farmers, Ranchers, and Other Agricultural Managers","-0.144","Management","Business & Legal"
"11-9021","Construction Managers","1.029","Management","Business & Legal"
"11-9031","Education Administrators, Preschool and Child Care Center/Program","0.838","Management","Business & Legal"
"11-9032","Education Administrators, Elementary and Secondary School","1.049","Management","Business & Legal"
"11-9033","Education Administrators, Postsecondary","1.461","Management","Business & Legal"
"11-9039","Education Administrators, All Other","0.354","Management","Business & Legal"
"11-9041","Engineering Managers","0.837","Management","Business & Legal"
"11-9051","Food Service Managers","-0.121","Management","Business & Legal"
"11-9061","Funeral Directors","0.372","Management","Business & Legal"
"11-9071","Gaming Managers","0.83","Management","Business & Legal"
"11-9081","Lodging Managers","0.402","Management","Business & Legal"
"11-9111","Medical and Health Services Managers","1.26","Management","Business & Legal"
"11-9121","Natural Sciences Managers","1.328","Management","Business & Legal"
"11-9131","Postmasters and Mail Superintendents","0.823","Management","Business & Legal"
"11-9141","Property, Real Estate, and Community Association Managers","1.215","Management","Business & Legal"
"11-9151","Social and Community Service Managers","1.156","Management","Business & Legal"
"11-9161","Emergency Management Directors","1.031","Management","Business & Legal"
"11-9199","Managers, All Other","0.965","Management","Business & Legal"
"13-1011","Agents and Business Managers of Artists, Performers, and Athletes","1.069","Business","Business & Legal"
"13-1021","Purchasing Agents and Buyers, Farm Products","0.769","Business","Business & Legal"
"13-1022","Wholesale and Retail Buyers, Except Farm Products","0.819","Business","Business & Legal"
"13-1023","Purchasing Agents, Except Wholesale, Retail, and Farm Products","1.509","Business","Business & Legal"
"13-1031","Claims Adjusters, Examiners, and Investigators","1.274","Business","Business & Legal"
"13-1032","Insurance Appraisers, Auto Damage","0.663","Business","Business & Legal"
