"NAICS","Industry Title","AIIE","Sector"
"1133","Logging","-1.36","Infrastructure (General)"
"1151","Support Activities for Crop Production","-2.165","Infrastructure (General)"
"1152","Support Activities for Animal Production","-1.149","Infrastructure (General)"
"2111","Oil and Gas Extraction","0.669","Infrastructure (General)"
"2121","Coal Mining","-1.146","Infrastructure (General)"
"2122","Metal Ore Mining","-0.892","Infrastructure (General)"
"2123","Nonmetallic Mineral Mining and Quarrying","-1.038","Infrastructure (General)"
"2131","Support Activities for Mining","-0.981","Infrastructure (General)"
"2211","Electric Power Generation, Transmission and Distribution","0.21","Infrastructure (General)"
"2212","Natural Gas Distribution","0.345","Infrastructure (General)"
"2213","Water, Sewage and Other Systems","-0.156","Infrastructure (General)"
"2361","Residential Building Construction","-0.76","Infrastructure (General)"
"2362","Nonresidential Building Construction","-0.663","Infrastructure (General)"
"2371","Utility System Construction","-1.176","Infrastructure (General)"
"2372","Land Subdivision","0.581","Infrastructure (General)"
"2373","Highway, Street, and Bridge Construction","-1.296","Infrastructure (General)"
"2379","Other Heavy and Civil Engineering Construction","-1.105","Infrastructure (General)"
"2381","Foundation, Structure, and Building Exterior Contractors","-1.757","Infrastructure (General)"
"2382","Building Equipment Contractors","-0.832","Infrastructure (General)"
"2383","Building Finishing Contractors","-1.603","Infrastructure (General)"
"2389","Other Specialty Trade Contractors","-1.359","Infrastructure (General)"
"3111","Animal Food Manufacturing","-0.789","Infrastructure (General)"
"3112","Grain and Oilseed Milling","-0.721","Infrastructure (General)"
"3113","Sugar and Confectionery Product Manufacturing","-0.773","Infrastructure (General)"
"3114","Fruit and Vegetable Preserving and Specialty Food Manufacturing","-0.981","Infrastructure (General)"
"3115","Dairy Product Manufacturing","-0.844","Infrastructure (General)"
"3116","Animal Slaughtering and Processing","-1.663","Infrastructure (General)"
"3117","Seafood Product Preparation and Packaging","-1.258","Infrastructure (General)"
"3118","Bakeries and Tortilla Manufacturing","-0.802","Infrastructure (General)"
"3119","Other Food Manufacturing","-0.854","Infrastructure (General)"
"3121","Beverage Manufacturing","-0.659","Infrastructure (General)"
"3122","Tobacco Manufacturing","-0.884","Infrastructure (General)"
"3131","Fiber, Yarn, and Thread Mills","-1.588","Infrastructure (General)"
"3132","Fabric Mills","-1.114","Infrastructure (General)"
"3133","Textile and Fabric Finishing and Fabric Coating Mills","-0.436","Infrastructure (General)"
"3141","Textile Furnishings Mills","-1.068","Infrastructure (General)"
"3149","Other Textile Product Mills","-0.562","Infrastructure (General)"
"3151","Apparel Knitting Mills","-1.272","Infrastructure (General)"
"3152","Cut and Sew Apparel Manufacturing","-0.652","Infrastructure (General)"
"3159","Apparel Accessories and Other Apparel Manufacturing","-0.792","Infrastructure (General)"
"3161","Leather and Hide Tanning and Finishing","-1.104","Infrastructure (General)"
"3162","Footwear Manufacturing","-0.53","Infrastructure (General)"
"3169","Other Leather and Allied Product Manufacturing","-0.68","Infrastructure (General)"
"3211","Sawmills and Wood Preservation","-1.421","Infrastructure (General)"
