"Region","Year","Percentage of Occupation"
"China","2000","71.44"
"China","2001","75.339"
"China","2002","74.427"
"China","2003","73.818"
"China","2004","73.226"
"China","2005","72.802"
"China","2006","72.438"
"China","2007","72.018"
"China","2008","71.429"
"China","2009","70.888"
"China","2010","69.179"
"China","2011","68.889"
"China","2012","68.74"
"China","2013","68.609"
"China","2014","68.472"
"China","2015","68.362"
"China","2016","68.173"
"China","2017","67.933"
"China","2018","67.656"
"China","2019","67.35"
"Europe","1974","60.248"
"Europe","1975","63.534"
"Europe","1976","61.563"
"Europe","1977","44.901571428571"
"Europe","1978","47.873285714286"
"Europe","1979","49.8438"
"Europe","1980","49.5586"
"Europe","1981","52.731111111111"
"Europe","1982","53.7007"
"Europe","1983","51.450615384615"
"Europe","1984","52.135785714286"
"Europe","1985","51.3595"
"Europe","1986","52.780588235294"
"Europe","1987","52.548882352941"
"Europe","1988","51.952352941176"
"Europe","1989","53.977666666667"
"Europe","1990","51.5396"
"Europe","1991","52.607611111111"
"Europe","1992","51.485875"
"Europe","1993","50.971266666667"
"Europe","1994","50.7415"
"Europe","1995","53.50015"
"Europe","1996","52.348636363636"
"Europe","1997","51.823230769231"
"Europe","1998","52.888807692308"
"Europe","1999","53.165535714286"
"Europe","2000","52.613161290323"
"Europe","2001","51.996363636364"
"Europe","2002","52.70740625"
"Europe","2003","52.664"
"Europe","2004","53.2055625"
"Europe","2005","52.428764705882"
"Europe","2006","52.572823529412"
"Europe","2007","52.932611111111"
"Europe","2008","53.540027777778"
"Europe","2009","52.303378378378"
"Europe","2010","51.502083333333"
"Europe","2011","51.535472222222"
"Europe","2012","51.361583333333"
"Europe","2013","51.194944444444"
"Europe","2014","51.73125"
"Europe","2015","53.037135135135"
"Europe","2016","53.115763157895"
"Europe","2017","54.157324324324"
"Europe","2018","54.887111111111"
"Europe","2019","55.255333333333"
"Europe","2020","54.416416666667"
"Europe","2021","54.853333333333"
"Europe","2022","56.352485714286"
"Europe","2023","56.896571428571"
"Europe","2024","57.123228571429"
"Europe","2025","56.939806451613"
"United States","1947","56"
"United States","1948","56.6"
"United States","1949","55.4"
"United States","1950","56.1"
"United States","1951","57.3"
"United States","1952","57.3"
"United States","1953","57.1"
"United States","1954","55.5"
"United States","1955","56.7"
"United States","1956","57.5"
"United States","1957","57.1"
"United States","1958","55.4"
"United States","1959","56"
"United States","1960","56.1"
"United States","1961","55.4"
"United States","1962","55.5"
"United States","1963","55.4"
"United States","1964","55.7"
"United States","1965","56.2"
"United States","1966","56.9"
"United States","1967","57.3"
"United States","1968","57.5"
"United States","1969","58"
"United States","1970","57.4"
"United States","1971","56.6"
"United States","1972","57"
"United States","1973","57.8"
"United States","1974","57.8"
"United States","1975","56.1"
"United States","1976","56.8"
"United States","1977","57.9"
"United States","1978","59.3"
"United States","1979","59.9"
"United States","1980","59.2"
"United States","1981","59"
"United States","1982","57.8"
"United States","1983","57.9"
"United States","1984","59.5"
"United States","1985","60.1"
"United States","1986","60.7"
"United States","1987","61.5"
"United States","1988","62.3"
"United States","1989","63"
"United States","1990","62.8"
"United States","1991","61.7"
"United States","1992","61.5"
"United States","1993","61.7"
"United States","1994","62.579"
"United States","1995","62.948"
"United States","1996","63.222"
"United States","1997","63.844"
"United States","1998","64.06"
"United States","1999","64.253"
"United States","2000","64.396"
"United States","2001","63.663"
"United States","2002","62.732"
"United States","2003","62.276"
"United States","2004","62.345"
"United States","2005","62.689"
"United States","2006","63.12"
"United States","2007","62.987"
"United States","2008","62.177"
"United States","2009","59.32"
"United States","2010","58.472"
"United States","2011","58.372"
"United States","2012","58.561"
"United States","2013","58.584"
"United States","2014","59.007"
"United States","2015","59.343"
"United States","2016","59.729"
"United States","2017","60.114"
"United States","2018","60.422"
"United States","2019","60.784"
"United States","2020","56.772"
"United States","2021","58.361"
"United States","2022","59.965"
"United States","2023","60.326"
"United States","2024","60.075"
"United States","2025","59.745"
