"Region","Year","Percentage of Occupation"
"China","1970","71.44"
"China","1970","75.339"
"China","1970","74.427"
"China","1970","73.818"
"China","1970","73.226"
"China","1970","72.802"
"China","1970","72.438"
"China","1970","72.018"
"China","1970","71.429"
"China","1970","70.888"
"China","1970","69.179"
"China","1970","68.889"
"China","1970","68.74"
"China","1970","68.609"
"China","1970","68.472"
"China","1970","68.362"
"China","1970","68.173"
"China","1970","67.933"
"China","1970","67.656"
"China","1970","67.35"
"Europe","1970","60.248"
"Europe","1970","63.534"
"Europe","1970","61.563"
"Europe","1970","44.901571428571"
"Europe","1970","47.873285714286"
"Europe","1970","49.8438"
"Europe","1970","49.5586"
"Europe","1970","52.731111111111"
"Europe","1970","53.7007"
"Europe","1970","51.450615384615"
"Europe","1970","52.135785714286"
"Europe","1970","51.3595"
"Europe","1970","52.780588235294"
"Europe","1970","52.548882352941"
"Europe","1970","51.952352941176"
"Europe","1970","53.977666666667"
"Europe","1970","51.5396"
"Europe","1970","52.607611111111"
"Europe","1970","51.485875"
"Europe","1970","50.971266666667"
"Europe","1970","50.7415"
"Europe","1970","53.50015"
"Europe","1970","52.348636363636"
"Europe","1970","51.823230769231"
"Europe","1970","52.888807692308"
"Europe","1970","53.165535714286"
"Europe","1970","52.613161290323"
"Europe","1970","51.996363636364"
"Europe","1970","52.70740625"
"Europe","1970","52.664"
"Europe","1970","53.2055625"
"Europe","1970","52.428764705882"
"Europe","1970","52.572823529412"
"Europe","1970","52.932611111111"
"Europe","1970","53.540027777778"
"Europe","1970","52.303378378378"
"Europe","1970","51.502083333333"
"Europe","1970","51.535472222222"
"Europe","1970","51.361583333333"
"Europe","1970","51.194944444444"
"Europe","1970","51.73125"
"Europe","1970","53.037135135135"
"Europe","1970","53.115763157895"
"Europe","1970","54.157324324324"
"Europe","1970","54.887111111111"
"Europe","1970","55.255333333333"
"Europe","1970","54.416416666667"
"Europe","1970","54.853333333333"
"Europe","1970","56.352485714286"
"Europe","1970","56.896571428571"
"Europe","1970","57.123228571429"
"Europe","1970","56.939806451613"
"United States","1970","56"
"United States","1970","56.6"
"United States","1970","55.4"
"United States","1970","56.1"
"United States","1970","57.3"
"United States","1970","57.3"
"United States","1970","57.1"
"United States","1970","55.5"
"United States","1970","56.7"
"United States","1970","57.5"
"United States","1970","57.1"
"United States","1970","55.4"
"United States","1970","56"
"United States","1970","56.1"
"United States","1970","55.4"
"United States","1970","55.5"
"United States","1970","55.4"
"United States","1970","55.7"
"United States","1970","56.2"
"United States","1970","56.9"
"United States","1970","57.3"
"United States","1970","57.5"
"United States","1970","58"
"United States","1970","57.4"
"United States","1970","56.6"
"United States","1970","57"
"United States","1970","57.8"
"United States","1970","57.8"
"United States","1970","56.1"
"United States","1970","56.8"
"United States","1970","57.9"
"United States","1970","59.3"
"United States","1970","59.9"
"United States","1970","59.2"
"United States","1970","59"
"United States","1970","57.8"
"United States","1970","57.9"
"United States","1970","59.5"
"United States","1970","60.1"
"United States","1970","60.7"
"United States","1970","61.5"
"United States","1970","62.3"
"United States","1970","63"
"United States","1970","62.8"
"United States","1970","61.7"
"United States","1970","61.5"
"United States","1970","61.7"
"United States","1970","62.579"
"United States","1970","62.948"
"United States","1970","63.222"
"United States","1970","63.844"
"United States","1970","64.06"
"United States","1970","64.253"
"United States","1970","64.396"
"United States","1970","63.663"
"United States","1970","62.732"
"United States","1970","62.276"
"United States","1970","62.345"
"United States","1970","62.689"
"United States","1970","63.12"
"United States","1970","62.987"
"United States","1970","62.177"
"United States","1970","59.32"
"United States","1970","58.472"
"United States","1970","58.372"
"United States","1970","58.561"
"United States","1970","58.584"
"United States","1970","59.007"
"United States","1970","59.343"
"United States","1970","59.729"
"United States","1970","60.114"
"United States","1970","60.422"
"United States","1970","60.784"
"United States","1970","56.772"
"United States","1970","58.361"
"United States","1970","59.965"
"United States","1970","60.326"
"United States","1970","60.075"
"United States","1970","59.745"
