Company_Name,Market_Cap_USD_Bilions,Sector
NVIDIA Corporation,4585.27,Infrastructure (Chip)
Microsoft Corporation,3150.14,Cloud & Ecosystems
Alphabet Inc (Google),4016.56,Cloud & Ecosystems
Amazon.com Inc,2557.21,Cloud & Ecosystems
Advanced Micro Devices,399.29,Infrastructure (Chip)
Intel Corporation,239.12,Infrastructure (Chip)
IBM Corporation,291.94,Software & Platform
Salesforce Inc,201.99,Software & Platform
Palantir Technologies,357.93,Software & Platform
Snowflake Inc,68.44,Data & Storage
MongoDB Inc,30.27,Data & Storage
