Region,Year,Private_Investment
China,2013,717196154
China,2014,771392259
China,2015,2385249652
China,2016,5102962753
China,2017,7314146387
China,2018,15069709833
China,2019,14895814015
China,2020,17871570528
China,2021,25891134262
China,2022,13951917588
China,2023,8419883132
China,2024,8109463468
China,2025,10446895788
Europe,2013,763586708
Europe,2014,1489116674
Europe,2015,975011980
Europe,2016,1392650570
Europe,2017,2861612653
Europe,2018,3240709083
Europe,2019,6714982701
Europe,2020,6493127811
Europe,2021,14647912025
Europe,2022,13689530446
Europe,2023,10796100014
Europe,2024,16865450460
Europe,2025,17608219360
United States,2013,4211478899
United States,2014,7963123765
United States,2015,10632666176
United States,2016,11464266076
United States,2017,15548779419
United States,2018,22716604134
United States,2019,33994613790
United States,2020,46294131458
United States,2021,86855560303
United States,2022,56651417674
United States,2023,64353629904
United States,2024,94629349595
United States,2025,240612883142
