Region,Job Title,Job Openings (2024),Projected Openings (2030),Automation Risk (%),AI Impact Level,Job Status,Required Education,Job Growth,Sector
China,Academic librarian,19667,21300,48.93,Moderate,Decreasing,Master’s Degree,1633,Software & Platform
China,Accommodation manager,7889,8569,93.87,Low,Decreasing,Master’s Degree,680,Software & Platform
China,"Accountant, chartered",4823,17673,43.06,Low,Increasing,PhD,12850,Software & Platform
China,Accounting technician,8395,11222,30.54,High,Decreasing,High School,2827,Software & Platform
China,Actor,3008,1458,76.24,Moderate,Increasing,Associate Degree,-1550,Software & Platform
China,Actuary,4688,12654,71.44,Moderate,Decreasing,Master’s Degree,7966,Software & Platform
China,Acupuncturist,3031,8652,35.49,Low,Decreasing,Bachelor’s Degree,5621,Software & Platform
China,Administrator,4628,1891,60.28,High,Decreasing,Bachelor’s Degree,-2737,Software & Platform
China,"Administrator, charities/voluntary organisations",24802,18544,53.56,High,Increasing,Master’s Degree,-6258,Software & Platform
China,"Administrator, local government",3020,7776,52.13,Moderate,Increasing,PhD,4756,Software & Platform
China,"Administrator, sports",3244,4409,87.48,Low,Increasing,High School,1165,Software & Platform
China,Adult guidance worker,4710,4117,86.51,High,Increasing,Master’s Degree,-593,Software & Platform
China,Advertising account planner,646,1417,97.0,Moderate,Decreasing,High School,771,Software & Platform
China,Advertising copywriter,18256,16746,90.2,Moderate,Decreasing,Associate Degree,-1510,Software & Platform
China,Aeronautical engineer,8916,7513,43.04,Low,Increasing,PhD,-1403,Software & Platform
China,Agricultural consultant,9217,5628,30.77,High,Increasing,High School,-3589,Software & Platform
China,Aid worker,269,5835,29.84,Moderate,Increasing,PhD,5566,Software & Platform
China,Air cabin crew,8750,8845,7.58,High,Decreasing,High School,95,Software & Platform
China,Amenity horticulturist,7471,3479,37.18,High,Increasing,Master’s Degree,-3992,Software & Platform
China,Analytical chemist,8695,11676,22.17,Moderate,Increasing,High School,2981,Software & Platform
China,Animal technologist,3634,5803,6.47,Low,Increasing,Bachelor’s Degree,2169,Software & Platform
China,Animator,9265,3051,77.41,Low,Decreasing,PhD,-6214,Software & Platform
China,Archaeologist,5103,8986,66.83,High,Decreasing,Bachelor’s Degree,3883,Software & Platform
China,Architect,1501,2005,90.95,Low,Decreasing,Master’s Degree,504,Software & Platform
China,Architectural technologist,5363,11088,61.18,High,Increasing,High School,5725,Software & Platform
China,Armed forces training and education officer,3031,2771,98.39,Moderate,Increasing,PhD,-260,Software & Platform
China,Art therapist,2386,5318,23.67,High,Increasing,Master’s Degree,2932,Software & Platform
China,Arts administrator,4484,6148,13.92,High,Increasing,Bachelor’s Degree,1664,Software & Platform
China,Astronomer,6268,8191,2.27,High,Decreasing,Master’s Degree,1923,Software & Platform
China,Audiological scientist,9265,14376,60.72,Low,Decreasing,Bachelor’s Degree,5111,Software & Platform
China,Banker,6045,15292,17.19,Moderate,Increasing,PhD,9247,Software & Platform
China,Best boy,3021,8031,80.05,Low,Increasing,PhD,5010,Software & Platform
China,"Biochemist, clinical",1761,5171,9.89,Moderate,Increasing,PhD,3410,Software & Platform
China,Biomedical engineer,13561,5661,55.6,Moderate,Increasing,PhD,-7900,Software & Platform
China,Biomedical scientist,6399,4760,86.55,High,Decreasing,Associate Degree,-1639,Software & Platform
China,Bonds trader,5809,793,31.67,Low,Decreasing,High School,-5016,Software & Platform
China,Bookseller,6623,6324,41.01,High,Decreasing,Bachelor’s Degree,-299,Software & Platform
China,Broadcast journalist,10029,14651,52.93,High,Decreasing,PhD,4622,Software & Platform
China,Building services engineer,18173,8532,66.52,High,Increasing,High School,-9641,Software & Platform
China,Building surveyor,168,5910,70.67,High,Decreasing,Associate Degree,5742,Software & Platform
China,"Buyer, industrial",2483,3601,95.24,High,Decreasing,High School,1118,Software & Platform
China,"Buyer, retail",7981,5888,43.44,Moderate,Decreasing,High School,-2093,Software & Platform
China,Cabin crew,1510,5795,5.79,Low,Decreasing,High School,4285,Software & Platform
China,Call centre manager,5322,8229,94.37,Low,Increasing,PhD,2907,Software & Platform
China,Camera operator,3320,13472,25.81,Low,Increasing,Associate Degree,10152,Software & Platform
China,Careers adviser,18617,9042,25.6,Moderate,Increasing,Master’s Degree,-9575,Software & Platform
China,Cartographer,2230,3578,85.78,High,Decreasing,PhD,1348,Software & Platform
China,Chartered accountant,9340,9024,46.68,High,Increasing,Associate Degree,-316,Software & Platform
China,Chartered certified accountant,5577,1913,10.31,High,Decreasing,PhD,-3664,Software & Platform
China,Chartered legal executive (England and Wales),7965,11248,34.35,High,Decreasing,Bachelor’s Degree,3283,Software & Platform
China,Chartered public finance accountant,4639,4627,9.09,Low,Decreasing,PhD,-12,Software & Platform
China,Chemical engineer,4586,3832,29.89,High,Increasing,Master’s Degree,-754,Software & Platform
China,"Chemist, analytical",4490,13613,49.22,High,Increasing,Bachelor’s Degree,9123,Software & Platform
China,Chief Executive Officer,10144,12930,45.68,Low,Increasing,Associate Degree,2786,Software & Platform
China,Chief Financial Officer,2571,9167,33.37,Low,Decreasing,PhD,6596,Software & Platform
China,Child psychotherapist,2908,1931,91.7,High,Increasing,High School,-977,Software & Platform
China,Chiropractor,32839,31547,70.54,Moderate,Decreasing,Master’s Degree,-1292,Software & Platform
China,Civil Service administrator,10690,9845,26.47,Moderate,Increasing,Master’s Degree,-845,Software & Platform
China,Civil Service fast streamer,17757,8769,61.61,High,Decreasing,PhD,-8988,Software & Platform
China,"Civil engineer, contracting",2686,5686,60.19,Low,Decreasing,Associate Degree,3000,Software & Platform
China,Claims inspector/assessor,7786,8304,5.32,Moderate,Decreasing,Associate Degree,518,Software & Platform
China,Clinical cytogeneticist,6442,6276,20.3,High,Increasing,Bachelor’s Degree,-166,Software & Platform
China,Clinical embryologist,8214,11577,61.0,Moderate,Decreasing,Master’s Degree,3363,Software & Platform
China,Clinical molecular geneticist,6532,11245,22.98,Low,Decreasing,Associate Degree,4713,Software & Platform
China,Clinical psychologist,18081,11023,65.83,High,Increasing,Associate Degree,-7058,Software & Platform
China,Clinical research associate,8849,8054,61.42,Moderate,Decreasing,Bachelor’s Degree,-795,Software & Platform
China,Colour technologist,912,8419,8.44,Moderate,Increasing,Master’s Degree,7507,Software & Platform
China,Commercial art gallery manager,5614,2843,79.79,High,Increasing,Master’s Degree,-2771,Software & Platform
China,Commercial horticulturist,11962,7738,48.8,Low,Decreasing,Bachelor’s Degree,-4224,Software & Platform
China,Commissioning editor,4521,5501,6.29,Moderate,Decreasing,High School,980,Software & Platform
China,Community arts worker,15969,12171,63.54,Moderate,Increasing,High School,-3798,Software & Platform
China,Community education officer,5983,519,36.16,Moderate,Increasing,Master’s Degree,-5464,Software & Platform
China,Company secretary,4873,18888,64.13,High,Increasing,Bachelor’s Degree,14015,Software & Platform
China,Comptroller,2749,10705,50.16,Moderate,Increasing,Master’s Degree,7956,Software & Platform
China,Conference centre manager,4918,8124,38.28,Moderate,Decreasing,Master’s Degree,3206,Software & Platform
China,"Conservation officer, historic buildings",481,2592,4.93,Low,Increasing,Associate Degree,2111,Software & Platform
China,"Conservator, furniture",7313,4589,63.1,High,Increasing,High School,-2724,Software & Platform
China,"Conservator, museum/gallery",6366,4159,57.55,Moderate,Decreasing,Bachelor’s Degree,-2207,Software & Platform
China,Consulting civil engineer,1467,11616,56.62,Low,Increasing,High School,10149,Software & Platform
China,Control and instrumentation engineer,625,9529,3.08,Moderate,Increasing,Bachelor’s Degree,8904,Software & Platform
China,Copy,7226,2128,74.66,Low,Increasing,Bachelor’s Degree,-5098,Software & Platform
China,Corporate investment banker,8782,6115,57.78,Low,Decreasing,Associate Degree,-2667,Software & Platform
China,Counsellor,16164,1936,83.28,Moderate,Increasing,High School,-14228,Software & Platform
China,Curator,9792,6198,11.1,Moderate,Increasing,Bachelor’s Degree,-3594,Software & Platform
China,Dance movement psychotherapist,4263,8020,50.66,Low,Decreasing,Bachelor’s Degree,3757,Software & Platform
China,Dancer,5857,2592,55.62,Moderate,Increasing,PhD,-3265,Software & Platform
China,Data processing manager,4709,1584,74.1,Moderate,Decreasing,High School,-3125,Software & Platform
China,Data scientist,9171,1416,9.52,High,Increasing,Associate Degree,-7755,Software & Platform
China,Dealer,4553,12804,21.42,Moderate,Decreasing,PhD,8251,Software & Platform
China,"Designer, exhibition/display",13945,16438,35.15,High,Decreasing,High School,2493,Software & Platform
China,"Designer, furniture",9823,6827,31.26,Low,Increasing,Master’s Degree,-2996,Software & Platform
China,"Designer, graphic",8438,9905,12.81,Moderate,Increasing,Master’s Degree,1467,Software & Platform
China,"Designer, industrial/product",3209,7723,85.63,High,Increasing,High School,4514,Software & Platform
China,"Designer, jewellery",9349,6913,90.4,Moderate,Decreasing,Bachelor’s Degree,-2436,Software & Platform
China,"Designer, multimedia",4434,1898,99.98,High,Increasing,Associate Degree,-2536,Software & Platform
China,"Designer, television/film set",5590,7112,54.93,High,Increasing,Master’s Degree,1522,Software & Platform
China,"Development worker, international aid",8993,512,31.77,Moderate,Decreasing,High School,-8481,Software & Platform
China,Dietitian,2301,451,61.35,Low,Decreasing,Master’s Degree,-1850,Software & Platform
China,Dispensing optician,1128,7639,62.39,Low,Decreasing,PhD,6511,Software & Platform
China,"Doctor, general practice",7115,353,27.22,Moderate,Increasing,Associate Degree,-6762,Software & Platform
China,Dramatherapist,907,7708,43.63,High,Increasing,Master’s Degree,6801,Software & Platform
China,Drilling engineer,6798,6212,20.86,High,Increasing,Master’s Degree,-586,Software & Platform
China,Early years teacher,2595,11103,27.23,Moderate,Increasing,Bachelor’s Degree,8508,Software & Platform
China,Ecologist,11440,11032,51.52,Moderate,Decreasing,Associate Degree,-408,Software & Platform
China,Economist,9642,2029,10.86,Moderate,Increasing,PhD,-7613,Software & Platform
China,"Editor, commissioning",4041,4988,98.43,Low,Decreasing,High School,947,Software & Platform
China,"Editor, film/video",255,3063,31.21,Moderate,Decreasing,High School,2808,Software & Platform
China,Editorial assistant,3045,1378,3.23,Low,Decreasing,High School,-1667,Software & Platform
China,"Education officer, community",2707,6132,31.26,Moderate,Increasing,Bachelor’s Degree,3425,Software & Platform
China,"Education officer, environmental",5471,4568,65.63,High,Decreasing,Associate Degree,-903,Software & Platform
China,Electrical engineer,9535,4811,92.1,Low,Increasing,PhD,-4724,Software & Platform
China,"Engineer, broadcasting (operations)",7165,18131,41.97,High,Decreasing,Master’s Degree,10966,Software & Platform
China,"Engineer, building services",9762,8702,48.41,Moderate,Increasing,Associate Degree,-1060,Software & Platform
China,"Engineer, civil (consulting)",14366,9153,31.42,High,Decreasing,High School,-5213,Software & Platform
China,"Engineer, communications",7388,7395,77.69,High,Increasing,High School,7,Software & Platform
China,"Engineer, electrical",15132,14881,45.54,Low,Decreasing,Master’s Degree,-251,Software & Platform
China,"Engineer, energy",3828,6181,93.23,Moderate,Increasing,PhD,2353,Software & Platform
China,"Engineer, maintenance",2827,635,59.06,Moderate,Decreasing,Associate Degree,-2192,Software & Platform
China,"Engineer, manufacturing",10235,1294,38.32,Moderate,Increasing,Bachelor’s Degree,-8941,Software & Platform
China,"Engineer, materials",565,1946,52.11,Low,Increasing,PhD,1381,Software & Platform
China,"Engineer, mining",3067,5076,72.23,Moderate,Increasing,PhD,2009,Software & Platform
China,"Engineer, petroleum",13000,13678,81.21,Moderate,Increasing,Master’s Degree,678,Software & Platform
China,"Engineer, production",9853,1377,65.72,Moderate,Increasing,Master’s Degree,-8476,Software & Platform
China,"Engineer, structural",8478,6452,55.15,Low,Decreasing,High School,-2026,Software & Platform
China,"Engineer, water",8662,253,86.36,High,Increasing,Associate Degree,-8409,Software & Platform
China,Engineering geologist,14759,14512,81.26,Moderate,Decreasing,PhD,-247,Software & Platform
China,English as a second language teacher,592,2702,70.06,Moderate,Increasing,High School,2110,Software & Platform
China,Equality and diversity officer,9294,12844,61.79,Low,Increasing,High School,3550,Software & Platform
China,Ergonomist,5238,8524,52.05,Moderate,Increasing,Associate Degree,3286,Software & Platform
China,Farm manager,20926,13417,39.72,High,Decreasing,High School,-7509,Software & Platform
China,Fashion designer,6835,6049,35.46,Low,Decreasing,Bachelor’s Degree,-786,Software & Platform
China,Field seismologist,4036,1247,75.02,Moderate,Decreasing,High School,-2789,Software & Platform
China,Field trials officer,13494,11352,37.14,Moderate,Increasing,Master’s Degree,-2142,Software & Platform
China,Film/video editor,9725,3250,98.86,Moderate,Increasing,PhD,-6475,Software & Platform
China,Financial controller,3343,4781,28.37,Moderate,Decreasing,High School,1438,Software & Platform
China,Financial manager,7059,4908,9.09,Moderate,Decreasing,Bachelor’s Degree,-2151,Software & Platform
China,Financial trader,9167,4748,32.93,High,Increasing,Master’s Degree,-4419,Software & Platform
China,Fine artist,14766,16228,55.2,Low,Increasing,PhD,1462,Software & Platform
China,Fish farm manager,1927,1158,60.54,Moderate,Increasing,Bachelor’s Degree,-769,Software & Platform
China,Fisheries officer,10702,12637,64.33,High,Decreasing,Associate Degree,1935,Software & Platform
