Publication date,Compute_Log10,Parameters,Domain,Organization,Region
2026-02-19,24.12,398000000000.0,Language & Audio,"Prime Intellect,Arcee AI",United States
2026-02-17,24.84,744000000000.0,Language & Audio,Z.ai (Zhipu AI),China
2026-02-02,24.76,1040000000000.0,Language & Audio,Moonshot,China
2025-12-22,24.65,358000000000.0,Language & Audio,Z.ai (Zhipu AI),China
2025-12-16,24.39,309000000000.0,Language & Audio,Xiaomi Corp,China
2025-12-15,23.68,31600000000.0,Language & Audio,NVIDIA,United States
2025-11-20,24.04,32000000000.0,Language & Audio,Allen Institute for AI,United States
2025-11-20,23.3,850000000.0,Vision & Media,Meta AI,United States
2025-11-06,24.62,1000000000000.0,Language & Audio,Moonshot,China
2025-10-30,24.99,34100000000.0,Multimodal,Beijing Academy of Artificial Intelligence / BAAI,China
2025-10-30,23.01,48000000000.0,Language & Audio,Moonshot,China
2025-10-25,23.94,12000000000.0,Multimodal,"Ukrainian Catholic University,Igor Sikorsky Kyiv Polytechnic Institute,AGH University of Krakow,Lviv Polytechnic",Europe
2025-10-23,23.23,16400000000.0,Language & Audio,Ant Group,China
2025-10-23,23.89,104200000000.0,Language & Audio,Ant Group,China
2025-10-18,23.04,102000000000.0,Science & Engineering,Anthrogen,United States
2025-10-10,24.78,1000000000000.0,Language & Audio,Ant Group,China
2025-10-02,23.13,7000000000.0,Language & Audio,IBM,United States
2025-10-02,23.5,3000000000.0,Language & Audio,IBM,United States
2025-10-02,24.08,32000000000.0,Language & Audio,IBM,United States
2025-09-30,24.65,357000000000.0,Language & Audio,"Z.ai (Zhipu AI),Tsinghua University",China
2025-09-29,24.62,671000000000.0,Language & Audio,DeepSeek,China
2025-09-23,21.3,3000000000.0,Science & Engineering,Apple,United States
2025-09-22,24.56,671000000000.0,Language & Audio,DeepSeek,China
2025-09-22,22.56,35300000000.0,Multimodal,Alibaba,China
2025-09-22,22.56,35300000000.0,Multimodal,Alibaba,China
2025-09-16,23.82,30000000000.0,Language & Audio,Alibaba,China
2025-09-10,23.43,80000000000.0,Language & Audio,Alibaba,China
2025-09-10,23.23,16000000000.0,Language & Audio,Ant Group,China
2025-09-10,23.86,100000000000.0,Language & Audio,Ant Group,China
2025-09-05,25.18,1000000000000.0,Language & Audio,Alibaba,China
2025-09-02,24.83,70000000000.0,Language & Audio,"ETH Zurich,Ecole Polytechnique F´ed´erale de Lausanne (EPFL),Swiss National Supercomputing Centre (CSCS),Swisscom",Europe
2025-09-01,24.57,560000000000.0,Language & Audio,Meituan Inc,China
2025-08-21,24.56,671000000000.0,Language & Audio,DeepSeek,China
2025-08-21,23.33,7000000000.0,Language & Audio,"OpenGPT-X,Fraunhofer Institute for Algorithms and Scientific Computing,Forschungszentrum Julich,Technische Universität Dresden",Europe
2025-08-20,21.47,366000000.0,Science & Engineering,"NASA,University of Alabama,IBM Research",United States
2025-08-20,16.77,7000000000.0,Science & Engineering,Massachusetts Institute of Technology (MIT),United States
2025-08-18,24.18,9000000000.0,Language & Audio,NVIDIA,United States
2025-08-18,24.18,12000000000.0,Language & Audio,NVIDIA,United States
2025-08-15,24.26,108000000000.0,Multimodal,"Z.ai (Zhipu AI),Tsinghua University",China
2025-08-15,23.96,9000000000.0,Multimodal,"Z.ai (Zhipu AI),Tsinghua University",China
2025-08-14,21.99,270000000.0,Language & Audio,Google DeepMind,United States
2025-08-05,24.69,116830000000.0,Language & Audio,OpenAI,United States
2025-08-05,23.74,20910000000.0,Language & Audio,OpenAI,United States
2025-08-05,24.65,355000000000.0,Language & Audio,"Z.ai (Zhipu AI),Tsinghua University",China
2025-08-05,24.22,106000000000.0,Language & Audio,"Z.ai (Zhipu AI),Tsinghua University",China
2025-07-30,18.37,480000000.0,Science & Engineering,"Google DeepMind,Google",United States
2025-07-28,23.62,14000000000.0,Vision & Media,Alibaba,China
2025-07-25,24.68,235000000000.0,Language & Audio,Alibaba,China
2025-07-25,24.68,235000000000.0,Language & Audio,Alibaba,China
2025-07-22,24.2,480000000000.0,Language & Audio,Alibaba,China
2025-07-11,24.47,1000000000000.0,Language & Audio,Moonshot,China
2025-07-09,26.7,3000000000000.0,Multimodal,xAI,United States
2025-07-06,24.09,142000000000.0,Language & Audio,Rednote,China
2025-06-29,24.45,300000000000.0,Language & Audio,Baidu,China
2025-06-29,23.26,21000000000.0,Language & Audio,Baidu,China
2025-06-25,22.13,450000000.0,Science & Engineering,Google DeepMind,United States
2025-06-13,24.64,456000000000.0,Language & Audio,MiniMax,China
2025-06-13,24.62,456000000000.0,Language & Audio,MiniMax,China
2025-06-12,21.98,720000000.0,Science & Engineering,Google DeepMind,United States
2025-06-11,21.96,1000000000.0,Multimodal,Facebook AI Research,United States
2025-06-05,24.02,7000000000.0,Language & Audio,Xiaomi Corp,China
2025-06-04,24.06,7000000000.0,Multimodal,Xiaomi Corp,China
2025-06-03,22.53,4000000000.0,Language & Audio,Fish Audio,United States
2025-05-28,24.11,71990000000.0,Language & Audio,Huawei,China
2025-05-28,24.6,671000000000.0,Language & Audio,DeepSeek,China
2025-05-23,20.08,1000000000.0,Language & Audio,Google DeepMind,United States
2025-05-22,21.57,150000000.0,Language & Audio,LightOn,Europe
2025-05-20,23.71,7850000000.0,Multimodal,Google,United States
2025-05-19,23.79,8000000000.0,Language & Audio,Marin,United States
2025-05-10,21.2,330000000.0,Multimodal,NVIDIA,United States
2025-05-07,24.49,718000000000.0,Language & Audio,Huawei,China
2025-05-06,21.95,15000000000.0,Language & Audio,"NVIDIA,ServiceNow",United States
2025-04-30,23.97,14000000000.0,Language & Audio,Microsoft,United States
2025-04-30,21.57,149000000.0,Language & Audio,LightOn,Europe
2025-04-29,24.68,235000000000.0,Language & Audio,Alibaba,China
2025-04-29,23.81,30000000000.0,Language & Audio,Alibaba,China
2025-04-29,24.85,32800000000.0,Language & Audio,Alibaba,China
2025-04-29,24.5,14800000000.0,Language & Audio,Alibaba,China
2025-04-29,24.25,8200000000.0,Language & Audio,Alibaba,China
2025-04-29,23.94,4000000000.0,Language & Audio,Alibaba,China
2025-04-29,23.56,1700000000.0,Language & Audio,Alibaba,China
2025-04-29,23.11,600000000.0,Language & Audio,Alibaba,China
2025-04-28,24.17,8000000000.0,Language & Audio,Cisco,United States
2025-04-25,21.43,350000000.0,Language & Audio,PleIAs,Europe
2025-04-25,22.48,1200000000.0,Language & Audio,PleIAs,Europe
2025-04-23,23.64,9000000000.0,Language & Audio,"INSAIT,ETH Zurich",Europe
2025-04-17,20.66,95000000.0,Language & Audio,Darktrace,Europe
2025-04-14,23.86,8000000000.0,Language & Audio,NVIDIA,United States
2025-04-14,24.83,56000000000.0,Language & Audio,NVIDIA,United States
2025-04-14,24.46,32000000000.0,Language & Audio,Tsinghua University,China
2025-04-14,23.91,9000000000.0,Language & Audio,Tsinghua University,China
2025-04-14,24.46,32000000000.0,Language & Audio,"Z.ai (Zhipu AI),Tsinghua University",China
2025-04-11,23.95,7000000000.0,Vision & Media,ByteDance,China
2025-04-10,25.03,135000000000.0,Language & Audio,Huawei,China
2025-04-09,24.87,340000000000.0,Multimodal,"Google DeepMind,Google Research",United States
2025-04-08,24.33,27000000000.0,Multimodal,"Google DeepMind,Google Research",United States
2025-04-08,23.64,9000000000.0,Multimodal,"Google DeepMind,Google Research",United States
2025-04-08,22.51,2600000000.0,Multimodal,"Google DeepMind,Google Research",United States
2025-04-05,24.61,109000000000.0,Multimodal,Meta AI,United States
2025-04-05,24.35,400000000000.0,Multimodal,Meta AI,United States
2025-04-05,25.71,2000000000000.0,Multimodal,Meta AI,United States
2025-03-27,21.68,2600000000.0,Vision & Media,"Shanghai AI Lab,University of Sydney,Chinese University of Hong Kong (CUHK),Shanghai Jiao Tong University,Krea AI",China
2025-03-26,22.88,8685000000.0,Multimodal,Wayve,Europe
2025-03-24,24.52,671000000000.0,Language & Audio,DeepSeek,China
2025-03-18,25.59,253000000000.0,Language & Audio,NVIDIA,United States
2025-03-18,22.85,2190000000.0,Multimodal,NVIDIA,United States
