Region,publications,year
China,5.729350332850026,2000
China,7.996844856666065,2001
China,7.110089978939032,2002
China,10.532619862282564,2003
China,16.73768081709325,2004
China,18.901845639692937,2005
China,24.29785698754935,2006
China,28.261970066730687,2007
China,30.76763410842021,2008
China,31.92315851443262,2009
China,31.25263415625682,2010
China,28.737375901340013,2011
China,24.53438886702845,2012
China,22.74379287103429,2013
China,21.37836013960888,2014
China,18.687617250009733,2015
China,17.068480111909974,2016
China,18.335122026337224,2017
China,21.26103949094079,2018
China,23.85166929341668,2019
China,25.563380230993623,2020
China,28.291108228593927,2021
China,31.42037108232381,2022
China,30.89696729397056,2023
China,32.94742886127817,2024
China,31.79649710685168,2025
China,36.89356859441661,2026
Europe,26.04642235368095,2000
Europe,25.083979753976102,2001
Europe,21.213850263749684,2002
Europe,19.97064099485996,2003
Europe,21.7404832189701,2004
Europe,19.74130991900595,2005
Europe,19.389615003010302,2006
Europe,19.644865305360323,2007
Europe,19.867872603792183,2008
Europe,19.31009679388,2009
Europe,19.899749385184865,2010
Europe,19.546736716555003,2011
Europe,21.066690462054343,2012
Europe,21.401285700773723,2013
Europe,21.30491416115576,2014
Europe,21.0045290578542,2015
Europe,20.017547366735293,2016
Europe,17.991213369051987,2017
Europe,16.761189069905306,2018
Europe,16.051157262192604,2019
Europe,14.857201203152082,2020
Europe,13.665629695525295,2021
Europe,13.590408233997987,2022
Europe,13.664625723743862,2023
Europe,12.694687954891462,2024
Europe,12.466908380045671,2025
Europe,11.329324682070254,2026
United States,28.951339409054157,2000
United States,28.70686270271146,2001
United States,31.08844712003325,2002
United States,30.66781131886071,2003
United States,23.65518739250386,2004
United States,24.35301145998169,2005
United States,19.78386517348808,2006
United States,18.262942395300875,2007
United States,15.848967367692136,2008
United States,16.27335005654368,2009
United States,15.442714131470373,2010
United States,16.285415324605076,2011
United States,15.356689230970083,2012
United States,15.380909435823972,2013
United States,14.980924566183054,2014
United States,15.376487198808505,2015
United States,15.306178141138425,2016
United States,15.417362564521008,2017
United States,16.009340932051767,2018
United States,15.09302701722806,2019
United States,14.655108679532784,2020
United States,14.258060753659237,2021
United States,12.320195341496266,2022
United States,12.2193488901321,2023
United States,11.147950508847291,2024
United States,13.209775211304642,2025
United States,11.350200660975055,2026
