Date,Ticker,Company_Name,Sector,Open,High,Low,Close,Volume,Daily_Investment_USD
2023-01-31,NVDA,NVIDIA Corporation,Technology,19.15,19.67,18.93,19.52,498017000,9720026811.77
2023-02-01,NVDA,NVIDIA Corporation,Technology,19.67,21.17,19.59,20.92,660477000,13818538171.33
2023-02-02,NVDA,NVIDIA Corporation,Technology,20.98,21.93,20.68,21.69,564276000,12237617360.18
2023-02-03,NVDA,NVIDIA Corporation,Technology,20.98,21.72,20.77,21.08,429366000,9050562712.72
2023-02-06,NVDA,NVIDIA Corporation,Technology,20.79,21.55,20.77,21.07,452197000,9526845354.93
2023-02-07,NVDA,NVIDIA Corporation,Technology,21.36,22.24,21.13,22.15,664150000,14711469489.38
2023-02-08,NVDA,NVIDIA Corporation,Technology,22.36,22.86,21.99,22.18,559651000,12414623164.41
2023-02-09,NVDA,NVIDIA Corporation,Technology,22.58,23.0,22.1,22.31,523876000,11690115359.66
2023-02-10,NVDA,NVIDIA Corporation,Technology,21.67,22.06,20.79,21.24,550737000,11699710530.08
2023-02-13,NVDA,NVIDIA Corporation,Technology,21.52,22.03,20.94,21.77,474919000,10337186045.22
2023-02-14,NVDA,NVIDIA Corporation,Technology,21.56,23.03,21.34,22.95,675474000,15500794069.82
2023-02-15,NVDA,NVIDIA Corporation,Technology,22.53,22.83,22.08,22.74,420575000,9564393614.05
2023-02-16,NVDA,NVIDIA Corporation,Technology,22.11,22.53,21.91,21.98,412026000,9056330505.51
2023-02-17,NVDA,NVIDIA Corporation,Technology,21.61,21.72,20.95,21.37,465888000,9954447889.53
2023-02-21,NVDA,NVIDIA Corporation,Technology,20.98,21.47,20.6,20.63,410015000,8460389032.47
2023-02-22,NVDA,NVIDIA Corporation,Technology,20.69,21.08,20.4,20.73,513184000,10639971016.91
2023-02-23,NVDA,NVIDIA Corporation,Technology,23.42,23.86,23.0,23.64,1117995000,26429774288.72
2023-02-24,NVDA,NVIDIA Corporation,Technology,23.2,23.45,22.92,23.26,589716000,13718392627.26
2023-02-27,NVDA,NVIDIA Corporation,Technology,23.65,23.86,23.43,23.48,452994000,10635164457.68
2023-02-28,NVDA,NVIDIA Corporation,Technology,23.35,23.8,23.18,23.19,455963000,10575051946.9
2023-03-01,NVDA,NVIDIA Corporation,Technology,23.17,23.23,22.49,22.68,460026000,10431228710.39
2023-03-02,NVDA,NVIDIA Corporation,Technology,22.47,23.36,22.41,23.29,389415000,9069741611.08
2023-03-03,NVDA,NVIDIA Corporation,Technology,23.3,23.88,23.11,23.87,412393000,9842215065.4
2023-03-06,NVDA,NVIDIA Corporation,Technology,23.87,24.22,23.46,23.53,437429000,10292899069.16
2023-03-07,NVDA,NVIDIA Corporation,Technology,23.58,24.1,23.22,23.27,515154000,11986945028.45
2023-03-08,NVDA,NVIDIA Corporation,Technology,23.47,24.18,23.4,24.16,513573000,12408396730.45
2023-03-09,NVDA,NVIDIA Corporation,Technology,24.15,24.43,23.36,23.42,501257000,11737704663.9
2023-03-10,NVDA,NVIDIA Corporation,Technology,23.39,23.61,22.71,22.95,474866000,10896242223.77
2023-03-13,NVDA,NVIDIA Corporation,Technology,22.73,23.28,22.28,22.95,421890000,9681079464.17
2023-03-14,NVDA,NVIDIA Corporation,Technology,23.48,24.2,23.44,24.04,474910000,11418270746.17
2023-03-15,NVDA,NVIDIA Corporation,Technology,23.74,24.27,23.34,24.21,524486000,12696695160.62
2023-03-16,NVDA,NVIDIA Corporation,Technology,24.01,25.57,23.87,25.52,583253000,14884494455.64
2023-03-17,NVDA,NVIDIA Corporation,Technology,25.96,26.38,25.65,25.7,848547000,21810748216.09
2023-03-20,NVDA,NVIDIA Corporation,Technology,25.59,26.0,25.11,25.88,432747000,11198838280.5
2023-03-21,NVDA,NVIDIA Corporation,Technology,26.16,26.37,25.36,26.18,547408000,14329634973.79
2023-03-22,NVDA,NVIDIA Corporation,Technology,26.4,27.57,26.22,26.45,797295000,21085281137.35
2023-03-23,NVDA,NVIDIA Corporation,Technology,27.09,27.48,26.67,27.17,564889000,15347142052.56
2023-03-24,NVDA,NVIDIA Corporation,Technology,27.01,27.14,26.33,26.76,454920000,12172186832.43
2023-03-27,NVDA,NVIDIA Corporation,Technology,26.81,26.98,26.34,26.51,361026000,9570427497.31
2023-03-28,NVDA,NVIDIA Corporation,Technology,26.43,26.49,25.83,26.39,356104000,9396896298.39
2023-03-29,NVDA,NVIDIA Corporation,Technology,26.8,27.06,26.57,26.96,393694000,10614618392.67
2023-03-30,NVDA,NVIDIA Corporation,Technology,27.21,27.48,27.08,27.36,364516000,9973253232.98
2023-03-31,NVDA,NVIDIA Corporation,Technology,27.12,27.81,27.08,27.75,433933000,12043348215.7
2023-04-03,NVDA,NVIDIA Corporation,Technology,27.49,27.98,27.31,27.94,398716000,11140834030.01
2023-04-04,NVDA,NVIDIA Corporation,Technology,27.94,27.98,27.28,27.43,368592000,10110553194.03
2023-04-05,NVDA,NVIDIA Corporation,Technology,26.81,26.98,26.37,26.86,515015000,13832620506.7
2023-04-06,NVDA,NVIDIA Corporation,Technology,26.56,27.06,26.41,27.01,397654000,10742442811.13
2023-04-10,NVDA,NVIDIA Corporation,Technology,26.8,27.6,26.65,27.56,395279000,10892346478.17
2023-04-11,NVDA,NVIDIA Corporation,Technology,27.7,27.77,27.1,27.15,314378000,8534243073.76
2023-04-12,NVDA,NVIDIA Corporation,Technology,27.35,27.45,26.43,26.47,446259000,11813815167.51
2023-04-13,NVDA,NVIDIA Corporation,Technology,26.71,26.86,26.31,26.44,353615000,9349943652.14
2023-04-14,NVDA,NVIDIA Corporation,Technology,26.48,26.86,26.2,26.74,395660000,10578278243.41
2023-04-17,NVDA,NVIDIA Corporation,Technology,26.54,26.98,26.41,26.98,321471000,8673151925.09
2023-04-18,NVDA,NVIDIA Corporation,Technology,27.51,28.09,27.33,27.64,604812000,16719437380.14
2023-04-19,NVDA,NVIDIA Corporation,Technology,27.34,27.98,27.21,27.91,358660000,10009412473.98
2023-04-20,NVDA,NVIDIA Corporation,Technology,27.65,28.01,26.98,27.08,427713000,11583105961.25
2023-04-21,NVDA,NVIDIA Corporation,Technology,26.93,27.16,26.7,27.1,345103000,9351076335.86
2023-04-24,NVDA,NVIDIA Corporation,Technology,26.99,27.34,26.65,27.02,339282000,9167244484.34
2023-04-25,NVDA,NVIDIA Corporation,Technology,27.06,27.22,26.2,26.22,378527000,9924678779.14
2023-04-26,NVDA,NVIDIA Corporation,Technology,26.98,27.31,26.68,26.93,406337000,10944124983.91
2023-04-27,NVDA,NVIDIA Corporation,Technology,27.34,27.47,26.6,27.2,377161000,10260058540.98
2023-04-28,NVDA,NVIDIA Corporation,Technology,27.2,27.73,27.05,27.73,292216000,8101968505.08
2023-05-01,NVDA,NVIDIA Corporation,Technology,27.82,29.03,27.76,28.89,570329000,16474518959.98
2023-05-02,NVDA,NVIDIA Corporation,Technology,28.66,28.81,28.06,28.19,402730000,11351579323.94
2023-05-03,NVDA,NVIDIA Corporation,Technology,27.82,28.34,27.45,27.78,383387000,10650074309.23
2023-05-04,NVDA,NVIDIA Corporation,Technology,27.63,27.84,27.22,27.54,321850000,8863464454.27
2023-05-05,NVDA,NVIDIA Corporation,Technology,27.8,28.73,27.71,28.66,361494000,10359038305.17
2023-05-08,NVDA,NVIDIA Corporation,Technology,28.5,29.2,28.33,29.13,344979000,10048131890.51
2023-05-09,NVDA,NVIDIA Corporation,Technology,28.88,28.95,28.43,28.55,314869000,8988650901.89
2023-05-10,NVDA,NVIDIA Corporation,Technology,28.98,29.09,28.44,28.86,369350000,10659815303.9
