Ticker,Company_Name,Sector,Market_Cap_USD,Start_Price_USD,End_Price_USD,Price_Change_Percent,Avg_Daily_Volume,Total_Volume_3Yr,Total_Investment_Flow_USD,Data_Start_Date,Data_End_Date
NVDA,NVIDIA Corporation,Technology,4585272901632,19.52,188.34,864.98,349328321,262694897878,22384895458372.82,2023-01-31,2026-01-29
MSFT,Microsoft Corporation,Technology,3150138834944,242.02,423.8,75.11,23381372,17582792405,6923995633540.68,2023-01-31,2026-01-29
GOOGL,Alphabet Inc (Google),Communication Services,4016561192960,98.1,331.48,237.9,32036289,24091289894,4091911693981.26,2023-01-31,2026-01-29
META,Meta Platforms Inc,Communication Services,1830230687744,147.94,726.01,390.76,17854362,13426480470,6019439887597.12,2023-01-31,2026-01-29
AMZN,Amazon.com Inc,Consumer Cyclical,2557206593536,103.13,239.21,131.95,47151855,35458195003,6096310869524.14,2023-01-31,2026-01-29
AMD,Advanced Micro Devices,Technology,399285354496,75.15,245.26,226.35,53915749,40544643454,5758284606605.04,2023-01-31,2026-01-29
INTC,Intel Corporation,Technology,239119187968,27.25,47.85,75.59,70359814,52910580733,1562567822402.83,2023-01-31,2026-01-29
IBM,IBM Corporation,Technology,291936501760,120.76,312.32,158.64,4452976,3348638453,663790718101.55,2023-01-31,2026-01-29
CRM,Salesforce Inc,Technology,201985933312,165.95,212.17,27.85,6834612,5139628427,1290470492982.04,2023-01-31,2026-01-29
PLTR,Palantir Technologies,Technology,357926600704,7.78,150.15,1829.95,66255867,49824412520,3370805869239.24,2023-01-31,2026-01-29
AI,C3.ai Inc,Technology,1717893760,19.85,12.2,-38.51,10355531,7787359999,218863614649.07,2023-01-31,2026-01-29
PATH,UiPath Inc,Technology,7090781184,15.36,13.26,-13.67,11737041,8826255168,135744558180.64,2023-01-31,2026-01-29
SNOW,Snowflake Inc,Technology,68439998464,156.44,200.0,27.84,5716469,4298785163,734799267698.55,2023-01-31,2026-01-29
MDB,MongoDB Inc,Technology,30272444416,214.21,371.93,73.63,1822580,1370580483,400767367330.37,2023-01-31,2026-01-29
DDOG,Datadog Inc,Technology,45453942784,74.81,129.62,73.27,4685444,3523454153,416742455101.94,2023-01-31,2026-01-29
BOTZ,Global X Robotics & AI ETF,ETF,0,23.56,37.62,59.7,832038,625693014,18522282829.54,2023-01-31,2026-01-29
ROBO,ROBO Global Robotics and Automation ETF,ETF,1413481216,52.62,72.92,38.59,85700,64446537,3721755272.66,2023-01-31,2026-01-29
ARKQ,ARK Autonomous Tech & Robotics ETF,ETF,0,48.45,126.89,161.92,136904,102952341,8332317192.27,2023-01-31,2026-01-29
AIQ,Global X AI & Technology ETF,ETF,0,22.74,52.55,131.07,688067,517427080,21336786484.75,2023-01-31,2026-01-29
IRBO,iShares Robotics and AI Multisector ETF,ETF,0,29.42,54.44,85.02,226800,170100351,6667121993.29,2023-01-31,2026-01-28
