Year,Ticker,Company_Name,Sector,Avg_Close_Price,Min_Price,Max_Price,Total_Volume,Avg_Daily_Volume,Total_Investment_Flow_USD,Trading_Days
2023,NVDA,NVIDIA Corporation,Technology,38.14,18.93,50.52,109432422000,473733428,4162120769476.5,231
2024,NVDA,NVIDIA Corporation,Technology,107.78,47.29,152.84,95051652300,377189096,9535433183351.72,252
2025,NVDA,NVIDIA Corporation,Technology,153.88,86.6,212.18,55187738800,220750955,8125030606419.76,250
2026,NVDA,NVIDIA Corporation,Technology,186.27,177.61,193.63,3023084778,159109725,562310899124.82,19
2023,MSFT,Microsoft Corporation,Technology,314.47,237.28,378.65,6279647400,27184620,1964511013699.16,231
2024,MSFT,Microsoft Corporation,Technology,415.68,361.12,463.16,5187829000,20586623,2149512117206.13,252
2025,MSFT,Microsoft Corporation,Technology,462.83,342.95,553.5,5548360400,22193441,2547871186226.56,250
2026,MSFT,Microsoft Corporation,Technology,466.36,421.02,489.7,566955605,29839768,262101316408.93,19
2023,GOOGL,Alphabet Inc (Google),Communication Services,120.03,87.92,141.61,7539201000,32637233,888119361034.12,231
2024,GOOGL,Alphabet Inc (Google),Communication Services,162.78,129.69,200.63,6918803600,27455569,1118539499569.42,252
2025,GOOGL,Alphabet Inc (Google),Communication Services,210.53,140.14,328.62,9064602400,36258409,1898921958054.64,250
2026,GOOGL,Alphabet Inc (Google),Communication Services,328.03,310.33,342.26,568682894,29930678,186330875323.13,19
2023,META,Meta Platforms Inc,Communication Services,269.8,146.04,359.39,5538709500,23977097,1434954397839.61,231
2024,META,Meta Platforms Inc,Communication Services,506.68,337.65,635.88,3699597900,14680944,1838852637069.23,252
2025,META,Meta Platforms Inc,Communication Services,668.4,478.72,795.06,3873750500,15495002,2540287676359.03,250
2026,META,Meta Platforms Inc,Communication Services,647.94,600.0,744.0,314422570,16548556,205345176329.17,19
2023,AMZN,Amazon.com Inc,Consumer Cyclical,123.64,88.12,155.63,13252176600,57368729,1617748133340.35,231
2024,AMZN,Amazon.com Inc,Consumer Cyclical,184.63,144.05,233.0,10325683300,40974933,1896182149014.05,252
2025,AMZN,Amazon.com Inc,Consumer Cyclical,217.67,161.38,258.6,11109841500,44439366,2398626578585.98,250
2026,AMZN,Amazon.com Inc,Consumer Cyclical,238.94,224.7,248.94,770493603,40552294,183754008583.76,19
2023,AMD,Advanced Micro Devices,Technology,105.75,72.03,151.05,14391067100,62298991,1527148198025.55,231
2024,AMD,Advanced Micro Devices,Technology,157.66,117.9,227.3,13409722500,53213184,2162549854807.09,252
2025,AMD,Advanced Micro Devices,Technology,152.5,76.48,267.08,12039293600,48157174,1905326929406.46,250
2026,AMD,Advanced Micro Devices,Technology,230.8,199.8,266.96,704560254,37082118,163259624366.03,19
2023,INTC,Intel Corporation,Technology,33.58,24.14,50.6,9671135500,41866387,322795560087.45,231
2024,INTC,Intel Corporation,Technology,30.83,18.51,49.64,15530394000,61628547,447028192910.43,252
2025,INTC,Intel Corporation,Technology,26.26,17.67,44.02,24941784300,99767137,663933183384.55,250
2026,INTC,Intel Corporation,Technology,45.72,37.76,54.6,2767266933,145645628,128810886020.58,19
2023,IBM,IBM Corporation,Technology,128.18,110.43,156.49,1015657700,4396786,129292693386.78,231
2024,IBM,IBM Corporation,Technology,186.16,148.54,233.32,1060761500,4209371,197156517124.15,252
2025,IBM,IBM Corporation,Technology,263.34,209.2,324.9,1189854800,4759419,312670277518.53,250
2026,IBM,IBM Corporation,Technology,299.65,289.0,319.89,82364453,4334971,24671230072.16,19
2023,CRM,Salesforce Inc,Technology,205.97,157.74,265.14,1420774400,6150538,291080527167.84,231
2024,CRM,Salesforce Inc,Technology,280.11,209.73,366.19,1607200400,6377779,444499426745.95,252
2025,CRM,Salesforce Inc,Technology,268.04,221.6,364.71,1939250300,7757001,514194699635.98,250
2026,CRM,Salesforce Inc,Technology,239.78,208.78,267.83,172403327,9073859,40695839432.38,19
2023,PLTR,Palantir Technologies,Technology,13.78,7.19,21.85,14208722500,61509621,205696761310.27,231
2024,PLTR,Palantir Technologies,Technology,33.38,15.66,84.8,15543862000,61681992,571241159855.71,252
2025,PLTR,Palantir Technologies,Technology,138.0,63.4,207.52,19361658700,77446634,2472222228949.3,250
2026,PLTR,Palantir Technologies,Technology,171.18,147.12,187.28,710169320,37377332,121645719123.96,19
2023,AI,C3.ai Inc,Technology,28.58,16.79,48.87,4520686600,19570071,137529952999.94,231
2024,AI,C3.ai Inc,Technology,27.56,18.85,45.08,1519937200,6031496,45145324516.55,252
2025,AI,C3.ai Inc,Technology,21.91,12.59,38.58,1626442600,6505770,34581000248.18,250
2026,AI,C3.ai Inc,Technology,13.32,12.15,14.48,120293599,6331242,1607336884.37,19
2023,PATH,UiPath Inc,Technology,17.11,12.38,26.52,1914580900,8288229,34187756262.8,231
2024,PATH,UiPath Inc,Technology,16.45,10.37,27.87,2415868100,9586778,38766995790.31,252
2025,PATH,UiPath Inc,Technology,13.07,9.38,19.84,4006611000,16026444,55218465230.41,250
2026,PATH,UiPath Inc,Technology,15.43,13.08,17.94,489195168,25747114,7571340897.13,19
2023,SNOW,Snowflake Inc,Technology,161.9,128.56,202.83,1240211900,5368882,201242063894.46,231
2024,SNOW,Snowflake Inc,Technology,150.85,107.13,237.72,1686169100,6691147,254927234422.79,252
2025,SNOW,Snowflake Inc,Technology,203.03,120.1,280.67,1292039400,5168157,261380561232.05,250
2026,SNOW,Snowflake Inc,Technology,214.71,197.5,236.31,80364763,4229724,17249408149.35,19
2023,MDB,MongoDB Inc,Technology,325.61,189.59,442.84,372540500,1612729,121309078041.74,231
2024,MDB,MongoDB Inc,Technology,315.56,212.74,509.62,396652100,1574016,122193820640.99,252
2025,MDB,MongoDB Inc,Technology,263.28,140.78,440.67,573963800,2295855,146175198380.56,250
2026,MDB,MongoDB Inc,Technology,405.24,362.9,444.72,27424083,1443372,11089270267.09,19
2023,DDOG,Datadog Inc,Technology,91.42,62.6,124.69,1076643200,4660793,96199775993.72,231
2024,DDOG,Datadog Inc,Technology,125.23,98.8,170.08,1009281500,4005085,127855892895.05,252
2025,DDOG,Datadog Inc,Technology,133.44,81.63,201.69,1330160700,5320642,178809974259.49,250
2026,DDOG,Datadog Inc,Technology,129.65,115.82,145.9,107368753,5650987,13876811953.7,19
