ai_concept,Country/territory,Country/territory_label,impact_level,pub_type,publications,year
All AI research,CHN,China (People's Republic of),All works,Article,5.729350332850026,2000
All AI research,CHN,China (People's Republic of),All works,Article,7.996844856666065,2001
All AI research,CHN,China (People's Republic of),All works,Article,7.110089978939032,2002
All AI research,CHN,China (People's Republic of),All works,Article,10.532619862282564,2003
All AI research,CHN,China (People's Republic of),All works,Article,16.73768081709325,2004
All AI research,CHN,China (People's Republic of),All works,Article,18.901845639692937,2005
All AI research,CHN,China (People's Republic of),All works,Article,24.29785698754935,2006
All AI research,CHN,China (People's Republic of),All works,Article,28.261970066730687,2007
All AI research,CHN,China (People's Republic of),All works,Article,30.76763410842021,2008
All AI research,CHN,China (People's Republic of),All works,Article,31.92315851443262,2009
All AI research,CHN,China (People's Republic of),All works,Article,31.25263415625682,2010
All AI research,CHN,China (People's Republic of),All works,Article,28.737375901340013,2011
All AI research,CHN,China (People's Republic of),All works,Article,24.534388867028454,2012
All AI research,CHN,China (People's Republic of),All works,Article,22.743792871034294,2013
All AI research,CHN,China (People's Republic of),All works,Article,21.37836013960888,2014
All AI research,CHN,China (People's Republic of),All works,Article,18.687617250009733,2015
All AI research,CHN,China (People's Republic of),All works,Article,17.068480111909974,2016
All AI research,CHN,China (People's Republic of),All works,Article,18.335122026337224,2017
All AI research,CHN,China (People's Republic of),All works,Article,21.26103949094079,2018
All AI research,CHN,China (People's Republic of),All works,Article,23.851669293416677,2019
All AI research,CHN,China (People's Republic of),All works,Article,25.563380230993626,2020
All AI research,CHN,China (People's Republic of),All works,Article,28.291108228593927,2021
All AI research,CHN,China (People's Republic of),All works,Article,31.42037108232381,2022
All AI research,CHN,China (People's Republic of),All works,Article,30.896967293970558,2023
All AI research,CHN,China (People's Republic of),All works,Article,32.94742886127817,2024
All AI research,CHN,China (People's Republic of),All works,Article,31.79649710685168,2025
All AI research,CHN,China (People's Republic of),All works,Article,36.893568594416614,2026
All AI research,EU27,EU27,All works,Article,26.04642235368095,2000
All AI research,EU27,EU27,All works,Article,25.083979753976102,2001
